model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
mlp,k_center,0.275,0.24,0.24,0.275,0.094,0.084,0.084,0.094,7.919,0.855,0.55,0.352,0.398,0.359,0.576,5.6e-05,20,0,,,,
xgb,craig,0.667,0.604,0.739,0.8,0.211,0.231,0.139,0.1,4.015,0.027,0.499,0.458,0.773,0.843,0.886,1.7e-05,20,0,,,,
rf,craig,0.667,0.604,0.739,0.8,0.211,0.231,0.139,0.1,13.403,0.383,0.558,0.567,0.81,0.852,0.869,2.2e-05,20,0,,,,
svc,craig,0.867,0.832,0.882,0.9,0.194,0.227,0.15,0.122,6.027,0.002,0.496,0.456,0.771,0.839,0.648,4e-06,20,0,,,,
logreg,craig,0.767,0.74,0.76,0.75,0.327,0.332,0.301,0.316,7.11,0.011,0.527,0.528,0.774,0.796,0.585,1e-06,20,0,,,,
mlp,craig,0.833,0.813,0.853,0.85,0.258,0.261,0.198,0.2,7.633,0.051,0.507,0.485,0.777,0.831,0.633,7.4e-05,20,0,,,,
xgb,lc,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.281,0.014,0.459,0.126,0.042,0.144,0.146,1.8e-05,20,0,,,,
rf,lc,0.9,0.898,0.898,0.9,0.146,0.148,0.148,0.146,15.265,0.46,0.3,0.279,0.396,0.319,0.234,2.9e-05,20,0,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.804,0.001,0.319,0.153,0.141,0.153,0.191,6e-06,20,0,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.918,0.007,0.365,0.117,0.058,0.125,0.104,1e-06,20,0,,,,
mlp,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,6.209,0.861,0.293,0.185,0.213,0.187,0.177,5e-05,20,0,,,,
xgb,random,0.85,0.846,0.846,0.85,0.094,0.097,0.097,0.094,5.69,0.031,0.822,0.78,0.876,0.869,0.88,1.6e-05,20,1,,,,
rf,random,0.825,0.815,0.815,0.825,0.187,0.2,0.2,0.187,15.79,0.235,0.794,0.734,0.844,0.83,0.863,1.5e-05,20,1,,,,
svc,random,0.75,0.742,0.742,0.75,0.079,0.081,0.081,0.079,5.15,0.003,0.776,0.76,0.871,0.867,0.852,1e-05,20,1,,,,
logreg,random,0.8,0.79,0.79,0.8,0.1,0.105,0.105,0.1,7.06,0.007,0.81,0.725,0.832,0.812,0.866,1e-06,20,1,,,,
mlp,random,0.65,0.597,0.597,0.65,0.094,0.147,0.147,0.094,4.222,0.031,0.742,0.648,0.771,0.738,0.83,7.2e-05,20,1,,,,
xgb,k-means,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,7.029,0.039,0.823,0.8,0.892,0.888,0.868,1.7e-05,20,1,,,,
rf,k-means,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,13.944,0.335,0.5,0.135,0.043,0.156,0.884,1.8e-05,20,1,,,,
svc,k-means,0.55,0.507,0.507,0.55,0.127,0.157,0.157,0.127,7.023,0.003,0.563,0.574,0.815,0.861,0.456,7e-06,20,1,,,,
logreg,k-means,0.7,0.696,0.696,0.7,0.1,0.102,0.102,0.1,7.02,0.034,0.61,0.563,0.724,0.687,0.668,1e-06,20,1,,,,
mlp,k-means,0.5,0.475,0.475,0.5,0.112,0.138,0.138,0.112,6.765,0.062,0.746,0.695,0.822,0.805,0.823,8.2e-05,20,1,,,,
xgb,ag,0.9,0.896,0.896,0.9,0.094,0.099,0.099,0.094,4.224,0.039,0.818,0.799,0.891,0.888,0.892,1.7e-05,20,1,,,,
rf,ag,0.85,0.845,0.845,0.85,0.146,0.15,0.15,0.146,17.805,0.366,0.729,0.53,0.616,0.563,0.857,2.1e-05,20,1,,,,
svc,ag,0.65,0.634,0.634,0.65,0.184,0.195,0.195,0.184,4.124,0.002,0.654,0.657,0.822,0.824,0.165,8e-06,20,1,,,,
logreg,ag,0.8,0.798,0.798,0.8,0.232,0.235,0.235,0.232,7.084,0.016,0.603,0.548,0.705,0.662,0.682,0.0,20,1,,,,
mlp,ag,0.625,0.6,0.6,0.625,0.079,0.087,0.087,0.079,7.642,0.024,0.717,0.669,0.805,0.786,0.822,2.9e-05,20,1,,,,
xgb,k_center,0.75,0.741,0.741,0.75,0.158,0.169,0.169,0.158,4.863,0.037,0.745,0.663,0.788,0.76,0.794,2e-06,20,1,,,,
rf,k_center,0.625,0.607,0.607,0.625,0.112,0.123,0.123,0.112,13.078,0.205,0.78,0.64,0.748,0.708,0.864,1.5e-05,20,1,,,,
svc,k_center,0.525,0.447,0.447,0.525,0.094,0.121,0.121,0.094,6.847,0.003,0.5,0.135,0.043,0.156,0.455,5e-06,20,1,,,,
logreg,k_center,0.55,0.548,0.548,0.55,0.17,0.171,0.171,0.17,7.066,0.006,0.49,0.137,0.05,0.156,0.562,1e-06,20,1,,,,
mlp,k_center,0.4,0.358,0.358,0.4,0.146,0.171,0.171,0.146,7.164,0.023,0.574,0.338,0.365,0.341,0.678,1.2e-05,20,1,,,,
xgb,craig,0.567,0.505,0.624,0.7,0.226,0.251,0.22,0.187,4.217,0.024,0.649,0.687,0.855,0.876,0.759,1.9e-05,20,1,,,,
rf,craig,0.633,0.585,0.71,0.75,0.245,0.248,0.168,0.158,13.457,0.175,0.709,0.682,0.822,0.812,0.814,1.2e-05,20,1,,,,
svc,craig,0.683,0.646,0.729,0.75,0.238,0.239,0.164,0.158,6.795,0.002,0.523,0.516,0.785,0.83,0.689,5e-06,20,1,,,,
logreg,craig,0.567,0.573,0.66,0.65,0.359,0.352,0.287,0.3,4.15,0.009,0.659,0.524,0.636,0.579,0.764,1e-06,20,1,,,,
mlp,craig,0.65,0.627,0.7,0.7,0.271,0.259,0.187,0.187,3.663,1.028,0.697,0.6,0.729,0.687,0.749,2.6e-05,20,1,,,,
xgb,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,4.848,0.017,0.238,0.117,0.11,0.117,0.121,9e-06,20,1,,,,
rf,lc,0.925,0.924,0.924,0.925,0.061,0.062,0.062,0.061,14.798,0.26,0.264,0.237,0.331,0.261,0.209,1.8e-05,20,1,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.138,0.001,0.304,0.166,0.172,0.166,0.194,6e-06,20,1,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.127,0.063,0.384,0.123,0.063,0.132,0.109,1e-06,20,1,,,,
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.818,0.983,0.282,0.172,0.193,0.173,0.167,5.9e-05,20,1,,,,
xgb,random,0.875,0.87,0.87,0.875,0.079,0.084,0.084,0.079,4.568,0.027,0.816,0.728,0.833,0.813,0.876,2e-05,20,2,,,,
rf,random,0.875,0.875,0.875,0.875,0.194,0.194,0.194,0.194,14.497,0.151,0.736,0.647,0.773,0.741,0.833,1.3e-05,20,2,,,,
svc,random,0.9,0.896,0.896,0.9,0.094,0.099,0.099,0.094,6.87,0.002,0.72,0.605,0.725,0.682,0.814,5e-06,20,2,,,,
logreg,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,2.541,0.006,0.782,0.686,0.8,0.773,0.848,1e-06,20,2,,,,
mlp,random,0.9,0.898,0.898,0.9,0.146,0.148,0.148,0.146,4.197,1.743,0.744,0.647,0.77,0.736,0.821,3.4e-05,20,2,,,,
xgb,k-means,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,7.437,0.049,0.733,0.546,0.637,0.585,0.888,9e-06,20,2,,,,
rf,k-means,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,12.034,0.166,0.5,0.135,0.043,0.156,0.869,1.3e-05,20,2,,,,
svc,k-means,0.675,0.657,0.657,0.675,0.187,0.199,0.199,0.187,6.909,0.001,0.7,0.693,0.836,0.833,0.362,8e-06,20,2,,,,
logreg,k-means,0.725,0.715,0.715,0.725,0.122,0.134,0.134,0.122,6.994,0.01,0.74,0.648,0.773,0.74,0.812,0.0,20,2,,,,
mlp,k-means,0.625,0.618,0.618,0.625,0.079,0.074,0.074,0.079,8.518,0.07,0.763,0.695,0.815,0.795,0.841,5.6e-05,20,2,,,,
xgb,ag,0.925,0.924,0.924,0.925,0.061,0.062,0.062,0.061,7.565,0.089,0.83,0.775,0.871,0.861,0.894,2e-06,20,2,,,,
rf,ag,0.825,0.824,0.824,0.825,0.17,0.169,0.169,0.17,15.309,0.148,0.768,0.597,0.696,0.648,0.868,1.1e-05,20,2,,,,
svc,ag,0.675,0.655,0.655,0.675,0.218,0.234,0.234,0.218,6.882,0.002,0.585,0.605,0.82,0.852,0.161,7e-06,20,2,,,,
logreg,ag,0.75,0.737,0.737,0.75,0.158,0.168,0.168,0.158,7.194,0.008,0.759,0.724,0.844,0.835,0.855,0.0,20,2,,,,
mlp,ag,0.675,0.661,0.661,0.675,0.127,0.134,0.134,0.127,7.074,0.614,0.735,0.693,0.823,0.809,0.831,3.1e-05,20,2,,,,
xgb,k_center,0.75,0.736,0.736,0.75,0.137,0.148,0.148,0.137,6.605,0.03,0.751,0.661,0.783,0.753,0.789,2.2e-05,20,2,,,,
rf,k_center,0.75,0.742,0.742,0.75,0.177,0.187,0.187,0.177,15.704,0.145,0.689,0.541,0.648,0.593,0.826,9e-06,20,2,,,,
svc,k_center,0.55,0.497,0.497,0.55,0.1,0.122,0.122,0.1,6.323,0.002,0.5,0.135,0.043,0.156,0.492,7e-06,20,2,,,,
logreg,k_center,0.525,0.507,0.507,0.525,0.094,0.098,0.098,0.094,7.207,0.007,0.492,0.137,0.049,0.156,0.515,1e-06,20,2,,,,
mlp,k_center,0.45,0.407,0.407,0.45,0.1,0.1,0.1,0.1,7.354,0.033,0.629,0.462,0.549,0.491,0.693,6.3e-05,20,2,,,,
xgb,craig,0.833,0.779,0.835,0.85,0.183,0.212,0.142,0.122,4.133,0.025,0.536,0.53,0.798,0.852,0.861,3e-06,20,2,,,,
rf,craig,0.567,0.524,0.686,0.75,0.226,0.241,0.167,0.158,12.489,0.139,0.597,0.623,0.829,0.861,0.763,1e-05,20,2,,,,
svc,craig,0.567,0.524,0.686,0.75,0.226,0.241,0.167,0.158,7.13,0.002,0.558,0.566,0.794,0.817,0.703,4e-06,20,2,,,,
logreg,craig,0.567,0.524,0.686,0.75,0.226,0.241,0.167,0.158,7.209,0.008,0.606,0.626,0.823,0.843,0.672,1e-06,20,2,,,,
mlp,craig,0.467,0.41,0.614,0.7,0.067,0.038,0.057,0.1,6.734,0.03,0.592,0.606,0.81,0.827,0.703,9.8e-05,20,2,,,,
xgb,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,4.167,0.035,0.459,0.126,0.042,0.144,0.135,8e-06,20,2,,,,
rf,lc,0.9,0.896,0.896,0.9,0.094,0.099,0.099,0.094,12.377,0.26,0.291,0.272,0.388,0.311,0.23,2.5e-05,20,2,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.451,0.002,0.365,0.117,0.058,0.125,0.103,4e-06,20,2,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.203,0.006,0.379,0.122,0.063,0.131,0.109,1e-06,20,2,,,,
mlp,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,7.572,0.034,0.283,0.138,0.129,0.138,0.145,6.8e-05,20,2,,,,
xgb,random,0.8,0.793,0.793,0.8,0.061,0.066,0.066,0.061,6.647,0.021,0.756,0.669,0.79,0.762,0.827,1.2e-05,20,3,,,,
rf,random,0.775,0.77,0.77,0.775,0.094,0.096,0.096,0.094,15.482,0.206,0.766,0.681,0.8,0.775,0.835,1.6e-05,20,3,,,,
svc,random,0.85,0.846,0.846,0.85,0.094,0.097,0.097,0.094,6.392,0.003,0.739,0.652,0.778,0.747,0.807,3e-06,20,3,,,,
logreg,random,0.825,0.818,0.818,0.825,0.1,0.105,0.105,0.1,7.008,0.009,0.743,0.646,0.768,0.735,0.815,1e-06,20,3,,,,
mlp,random,0.725,0.716,0.716,0.725,0.094,0.094,0.094,0.094,7.857,0.066,0.752,0.658,0.779,0.748,0.819,0.000103,20,3,,,,
xgb,k-means,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,6.618,0.022,0.498,0.135,0.043,0.155,0.884,8e-06,20,3,,,,
rf,k-means,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,14.371,0.123,0.5,0.134,0.042,0.155,0.867,1e-05,20,3,,,,
svc,k-means,0.65,0.642,0.642,0.65,0.166,0.167,0.167,0.166,3.742,0.003,0.653,0.657,0.823,0.826,0.163,1e-05,20,3,,,,
logreg,k-means,0.675,0.671,0.671,0.675,0.15,0.148,0.148,0.15,6.538,0.012,0.64,0.583,0.734,0.698,0.718,1e-06,20,3,,,,
mlp,k-means,0.55,0.543,0.543,0.55,0.127,0.124,0.124,0.127,5.314,0.874,0.76,0.714,0.835,0.822,0.849,4.4e-05,20,3,,,,
xgb,ag,0.95,0.949,0.949,0.95,0.061,0.062,0.062,0.061,4.54,0.014,0.816,0.798,0.891,0.888,0.884,4e-06,20,3,,,,
rf,ag,0.85,0.848,0.848,0.85,0.146,0.148,0.148,0.146,15.009,0.255,0.728,0.547,0.641,0.588,0.846,1.6e-05,20,3,,,,
svc,ag,0.65,0.644,0.644,0.65,0.255,0.259,0.259,0.255,5.529,0.002,0.647,0.668,0.838,0.851,0.863,4e-06,20,3,,,,
logreg,ag,0.8,0.794,0.794,0.8,0.17,0.173,0.173,0.17,7.717,0.018,0.604,0.548,0.703,0.659,0.68,1e-06,20,3,,,,
mlp,ag,0.6,0.58,0.58,0.6,0.2,0.201,0.201,0.2,7.196,0.035,0.733,0.714,0.844,0.838,0.84,6.2e-05,20,3,,,,
xgb,k_center,0.85,0.848,0.848,0.85,0.05,0.049,0.049,0.05,7.048,0.018,0.71,0.601,0.724,0.68,0.772,8e-06,20,3,,,,
rf,k_center,0.725,0.721,0.721,0.725,0.146,0.148,0.148,0.146,15.377,0.343,0.654,0.513,0.621,0.563,0.761,2.2e-05,20,3,,,,
svc,k_center,0.6,0.54,0.54,0.6,0.166,0.193,0.193,0.166,3.749,0.003,0.495,0.134,0.043,0.154,0.348,7e-06,20,3,,,,
logreg,k_center,0.6,0.581,0.581,0.6,0.289,0.305,0.305,0.289,6.715,0.013,0.548,0.372,0.433,0.384,0.585,1e-06,20,3,,,,
mlp,k_center,0.5,0.475,0.475,0.5,0.177,0.19,0.19,0.177,6.441,0.026,0.621,0.401,0.452,0.41,0.704,3.7e-05,20,3,,,,
xgb,craig,0.7,0.671,0.757,0.8,0.245,0.27,0.205,0.187,4.379,0.625,0.699,0.71,0.852,0.856,0.812,1.5e-05,20,3,,,,
rf,craig,0.7,0.671,0.757,0.8,0.245,0.27,0.205,0.187,16.048,0.308,0.693,0.665,0.811,0.799,0.791,2.2e-05,20,3,,,,
svc,craig,0.567,0.538,0.657,0.7,0.226,0.237,0.183,0.187,7.278,0.002,0.527,0.528,0.777,0.805,0.688,2e-06,20,3,,,,
logreg,craig,0.567,0.538,0.657,0.7,0.226,0.237,0.183,0.187,6.698,0.007,0.631,0.551,0.692,0.644,0.67,1e-06,20,3,,,,
mlp,craig,0.533,0.511,0.617,0.65,0.267,0.264,0.229,0.255,7.461,0.926,0.643,0.572,0.717,0.675,0.703,4.8e-05,20,3,,,,
xgb,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,5.468,7.445,0.253,0.138,0.143,0.138,0.125,1.7e-05,20,3,,,,
rf,lc,0.925,0.925,0.925,0.925,0.1,0.1,0.1,0.1,15.779,0.206,0.268,0.229,0.311,0.247,0.217,1.9e-05,20,3,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.099,0.003,0.317,0.148,0.133,0.148,0.187,6e-06,20,3,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.832,0.005,0.365,0.117,0.058,0.125,0.104,1e-06,20,3,,,,
mlp,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,5.908,1.928,0.272,0.158,0.173,0.159,0.162,5.9e-05,20,3,,,,
xgb,random,0.875,0.87,0.87,0.875,0.079,0.084,0.084,0.079,7.626,0.01,0.835,0.792,0.883,0.876,0.879,2e-06,20,4,,,,
rf,random,0.8,0.798,0.798,0.8,0.1,0.101,0.101,0.1,14.936,0.379,0.717,0.669,0.805,0.786,0.824,1.9e-05,20,4,,,,
svc,random,0.8,0.796,0.796,0.8,0.061,0.063,0.063,0.061,7.275,0.003,0.72,0.699,0.835,0.827,0.837,7e-06,20,4,,,,
logreg,random,0.775,0.773,0.773,0.775,0.094,0.095,0.095,0.094,2.671,0.007,0.762,0.724,0.844,0.833,0.838,1e-06,20,4,,,,
mlp,random,0.725,0.722,0.722,0.725,0.094,0.095,0.095,0.094,5.649,0.018,0.719,0.675,0.81,0.793,0.812,1.5e-05,20,4,,,,
xgb,k-means,0.9,0.896,0.896,0.9,0.094,0.099,0.099,0.094,4.415,0.02,0.507,0.154,0.074,0.17,0.86,2.2e-05,20,4,,,,
rf,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.479,0.432,0.5,0.134,0.042,0.155,0.895,2.6e-05,20,4,,,,
svc,k-means,0.725,0.718,0.718,0.725,0.2,0.207,0.207,0.2,6.945,0.002,0.792,0.715,0.827,0.807,0.874,5e-06,20,4,,,,
logreg,k-means,0.9,0.896,0.896,0.9,0.094,0.099,0.099,0.094,2.712,0.011,0.803,0.719,0.828,0.808,0.885,1e-06,20,4,,,,
mlp,k-means,0.6,0.596,0.596,0.6,0.2,0.199,0.199,0.2,7.604,0.061,0.799,0.743,0.851,0.838,0.872,9.1e-05,20,4,,,,
xgb,ag,0.925,0.924,0.924,0.925,0.061,0.062,0.062,0.061,4.263,0.025,0.82,0.8,0.892,0.888,0.887,1.8e-05,20,4,,,,
rf,ag,0.825,0.822,0.822,0.825,0.17,0.172,0.172,0.17,17.805,0.147,0.702,0.533,0.63,0.575,0.808,1.2e-05,20,4,,,,
svc,ag,0.65,0.634,0.634,0.65,0.184,0.188,0.188,0.184,5.132,0.002,0.627,0.642,0.824,0.835,0.843,7e-06,20,4,,,,
logreg,ag,0.8,0.797,0.797,0.8,0.15,0.152,0.152,0.15,7.251,0.04,0.608,0.555,0.712,0.671,0.685,1e-06,20,4,,,,
mlp,ag,0.575,0.557,0.557,0.575,0.232,0.229,0.229,0.232,4.701,0.02,0.758,0.725,0.846,0.837,0.858,2.8e-05,20,4,,,,
xgb,k_center,0.775,0.771,0.771,0.775,0.166,0.166,0.166,0.166,6.996,0.061,0.651,0.52,0.633,0.576,0.766,1.8e-05,20,4,,,,
rf,k_center,0.725,0.721,0.721,0.725,0.146,0.148,0.148,0.146,16.379,0.427,0.685,0.515,0.61,0.554,0.832,3e-05,20,4,,,,
svc,k_center,0.55,0.49,0.49,0.55,0.061,0.098,0.098,0.061,7.252,0.003,0.5,0.135,0.043,0.156,0.454,8e-06,20,4,,,,
logreg,k_center,0.625,0.621,0.621,0.625,0.209,0.213,0.213,0.209,4.327,0.023,0.523,0.333,0.376,0.339,0.527,1e-06,20,4,,,,
mlp,k_center,0.55,0.543,0.543,0.55,0.203,0.201,0.201,0.203,5.248,1.386,0.573,0.453,0.562,0.499,0.596,5.2e-05,20,4,,,,
xgb,craig,0.767,0.726,0.775,0.8,0.162,0.181,0.12,0.1,3.606,0.047,0.806,0.787,0.885,0.882,0.785,4e-06,20,4,,,,
rf,craig,0.583,0.512,0.595,0.65,0.183,0.184,0.16,0.122,16.935,0.46,0.795,0.768,0.873,0.867,0.819,2.6e-05,20,4,,,,
svc,craig,0.5,0.39,0.519,0.65,0.0,0.047,0.152,0.122,6.893,0.002,0.5,0.458,0.774,0.845,0.719,4e-06,20,4,,,,
logreg,craig,0.5,0.459,0.529,0.55,0.264,0.239,0.233,0.245,6.661,0.012,0.605,0.427,0.502,0.448,0.744,1e-06,20,4,,,,
mlp,craig,0.35,0.299,0.395,0.45,0.133,0.088,0.157,0.187,4.678,0.018,0.693,0.596,0.725,0.683,0.749,3e-05,20,4,,,,
xgb,lc,0.975,0.975,0.975,0.975,0.05,0.051,0.051,0.05,4.267,0.017,0.292,0.135,0.12,0.135,0.126,8e-06,20,4,,,,
rf,lc,0.925,0.921,0.921,0.925,0.1,0.106,0.106,0.1,14.083,0.367,0.281,0.228,0.303,0.243,0.219,3e-05,20,4,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.894,0.002,0.344,0.116,0.065,0.122,0.11,4e-06,20,4,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.755,0.005,0.365,0.113,0.051,0.122,0.094,0.0,20,4,,,,
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.188,0.046,0.284,0.147,0.145,0.147,0.148,5.7e-05,20,4,,,,
